2026-02-12T19:21:52.681000+00:00 | 2026-02-12T16:21:52.681000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:52.684000+00:00 | 2026-02-12T16:21:52.684000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:21:57.690000+00:00 | 2026-02-12T16:21:57.690000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:21:57.693000+00:00 | 2026-02-12T16:21:57.693000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:02.699000+00:00 | 2026-02-12T16:22:02.699000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:22:02.703000+00:00 | 2026-02-12T16:22:02.703000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:08.767000+00:00 | 2026-02-12T16:22:08.767000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:22:08.771000+00:00 | 2026-02-12T16:22:08.771000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:13.778000+00:00 | 2026-02-12T16:22:13.778000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:22:13.782000+00:00 | 2026-02-12T16:22:13.782000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:14.247000+00:00 | 2026-02-12T16:22:14.247000-03:00 | info | whatsapp:connection | QR code expired | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:22:18.788000+00:00 | 2026-02-12T16:22:18.788000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:22:18.792000+00:00 | 2026-02-12T16:22:18.792000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:23.798000+00:00 | 2026-02-12T16:22:23.798000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:22:23.801000+00:00 | 2026-02-12T16:22:23.801000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:28.807000+00:00 | 2026-02-12T16:22:28.807000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:22:28.810000+00:00 | 2026-02-12T16:22:28.810000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:33.816000+00:00 | 2026-02-12T16:22:33.816000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:22:33.819000+00:00 | 2026-02-12T16:22:33.819000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:34.249000+00:00 | 2026-02-12T16:22:34.249000-03:00 | info | whatsapp:connection | QR code expired | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:22:38.825000+00:00 | 2026-02-12T16:22:38.825000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:22:38.829000+00:00 | 2026-02-12T16:22:38.829000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:43.836000+00:00 | 2026-02-12T16:22:43.836000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:22:43.839000+00:00 | 2026-02-12T16:22:43.839000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:48.845000+00:00 | 2026-02-12T16:22:48.845000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:22:48.848000+00:00 | 2026-02-12T16:22:48.848000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:53.856000+00:00 | 2026-02-12T16:22:53.856000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
2026-02-12T19:22:53.861000+00:00 | 2026-02-12T16:22:53.861000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/qr | inst= | err=
2026-02-12T19:22:54.250000+00:00 | 2026-02-12T16:22:54.250000-03:00 | info | whatsapp:connection | QR code expired | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:22:54.250000+00:00 | 2026-02-12T16:22:54.250000-03:00 | info | whatsapp:connection | QR cycle complete, clearing auth and retrying | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:22:54.250000+00:00 | 2026-02-12T16:22:54.250000-03:00 | info | whatsapp:connection | Connection closed | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:22:54.250000+00:00 | 2026-02-12T16:22:54.250000-03:00 | warn | whatsapp:connection | Connection failed after QR scan | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:22:54.252000+00:00 | 2026-02-12T16:22:54.252000-03:00 | info | whatsapp-baileys | Instance disconnected | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:22:54.254000+00:00 | 2026-02-12T16:22:54.254000-03:00 | info | instance | Disconnected | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:22:54.302000+00:00 | 2026-02-12T16:22:54.302000-03:00 | info | whatsapp:auth | Created new credentials | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:22:54.998000+00:00 | 2026-02-12T16:22:54.998000-03:00 | info | whatsapp:connection | QR code generated | inst=0567bded-23f6-439f-b49f-773fa7f47419 | err=
2026-02-12T19:22:58.867000+00:00 | 2026-02-12T16:22:58.867000-03:00 | info | http | → GET /api/v2/instances/0567bded-23f6-439f-b49f-773fa7f47419/status | inst= | err=
